important	destination,3
cool	time,34
unknown	sort,3
bad	time,58
nice	marble,3
easy	ppl,3
nice	staff,17
noisy	lobby,17
best	options,3
better	deals,17
warm	greetings,17
cheap	luggage,3
comfortable	suites,17
bad	need,17
understandable	answer,2
pure	slop,17
bad	things,17
perfect	base,3
clean	room,219
willing	answer,3
affordable	value,3
best	shows,17
good	food,17
nice	time,40
noisy	location,3
good	condition,34
bad	taste,17
spacious	lani,17
convenient	shops,3
bad	comments,17
great	time,233
bad	breakfast,12
nice	condition,3
good	situation,17
romantic	get-away,17
quiet	street,3
nice	reception,3
quiet	items,17
disabled	persons,3
fancier	room,17
free	computers,17
hard	mattresses,17
credible	job,17
nice	welcome,3
right	smack,17
terrible	room,3
good	dinner,3
modern	lifts,3
romantic	trip,17
famous	waikiki,17
cheapest	room,51
good	hotels,3
helpful	concierage,17
important	staff,3
good	job,22
friendly	room,34
spectacular	location,34
naive	girl,3
miserable	breakfast,3
interesting	items,17
useless	room,3
convient	location,17
free	upgrade,37
reasonable	prices,17
negative	side,17
friendly	staff,108
worst	management,3
good	beds,3
delicious	royal,17
nice	man,34
warm	mini-fridge,3
better	values,17
pleasant	time,71
great	tv,3
warm	beer,3
good	+,3
cold	cereal,3
bitter	hanger,3
excellant	shops,17
nice	day,17
crazy	location,2
loud	music,17
best	shopping,17
authentic	malaysian,3
dirty	drinking,2
expensive	internet,3
free	internet,71
great	food,54
free	parking,17
enough	tea/coffee/milk,3
best	word,17
fried	egg,3
hot	breakfast,5
negative	reviews,71
ridiculous	amount,17
nice	island,17
great	location,577
consistent	issues,3
nice	breakfast,9
great	need,17
stale	bread,6
disgusting	room,3
great	trip,17
horrible	time,17
better	hotels,34
good	pressure,34
interesting	roommate,17
important	time,6
horrible	reviews,17
poor	furnishings,3
soft	drinks,17
best	perks,17
glad	i,6
good	opportunity,17
terrible	time,40
fancy	waterfall,17
good	selection,34
ugly	incident,17
sweet	sleeper,34
incredible	travel,3
amazing	value,17
good	breakfast,12
shameful	corners,3
cheapest	value,34
free	channels,17
shallow	end,17
modern	items,3
posh	room,3
crowded	room,3
fun	time,17
irritating	part,3
nicer	hotels,17
limited	room,17
expensive	cities,3
nice	front,3
fantastic	customer,3
marginal	upgrade,17
top	part,17
bad	surprise,3
great	part,17
top	sheet,17
unsafe	bath,3
decent	equipment,17
noisy	people,3
poor	girl,3
slow	cmptr,17
good	eat,3
sufficient	accommodations,3
fantastic	coconut,17
easy	trip,17
good	shops,17
lovely	bottle,17
cold	atmosphere,3
best	part,37
poor	girlfirend,2
good	grub,3
disrespectful	manager,3
spectacular	bath,17
worse	places,17
right	hand,3
enough	staff,3
exceptional	time,17
best	meals,17
free	weights,17
strong	handle,3
excellent	floor,17
limited	accommodations,17
bad	distance,17
good	family,17
complimentary	room,34
noisy	aircondition,3
stunning	location,17
luxurious	room,17
bad	reviews,20
nice	indoor,2
romantic	holiday,17
limited	facilities,3
nice	touch,34
significant	amount,17
wrong	room,20
good	choices,3
beautiful	kensington,6
overpriced	hotels,3
utterly	rudeness,3
gorgeous	restaurants,17
happy	hour,17
complimentary	basket,17
modern	foyer,3
lovely	food,17
worth	mentioning,17
bad	review,3
good	deals,17
loyal	clients,17
free	entertainment,51
wonderful	deals,17
nice	shower,6
hard	itchy,3
unpleasant	reception,3
good	quality,23
unsavory	element,3
limited	location,51
nice	entrance,17
sweet	sleepers,17
positive	comment,17
clean	e,3
good	point,17
good	standard,3
worst	selection,3
good	honeymoon,17
lovely	homes,3
nice	feature,3
easy	walking,3
expensive	sister,17
best	vacation,17
cheap	value,17
hard	rolls,3
drastic	need,17
best	beaches,17
good	vacation,17
available	glasses,3
nice	balcony,17
wonderful	time,85
recomend	places,17
quiet	kuhio,17
great	people,17
lovely	scene,17
handy	travel,3
nice	couple,2
best	pineapple,17
friendly	receptionist,3
great	shape,17
worst	pictures,17
fresh	air,3
warm	milk/juice,3
cheap	motels,17
good	sign,17
free	computer,17
