dirty	lobby,6
bad	manners,2
filthy	room,47
perfect	spot,1
good	staff,8
powerful	shower,6
unpleasant	odor,1
great	activity,6
poor	excuse,6
cheap	dining,6
best	motivation,3
cold	air,8
unhelpful	staff,3
expensive	hotels,8
weird	reason,1
dusty	carpet,6
strong	pressure,2
tired	lookin,1
nasty	review,1
cold	tap,7
enough	money,8
awful	smell,13
great	welcome,1
unclean	bath,6
itchy	rash,3
warm	snacks,1
great	shower,1
cheap	soap,7
reasonable	but,1
crappy	hotels,1
fun	room,6
great	customer,2
enough	room,9
bad	hotels,1
portable	tv,1
best	travel,3
solid	stream,4
strange	guests,4
fat	woman,6
reasonable	expections,1
comfortable	atmosphere,3
stark	contrast,1
enough	profit,6
efficient	staff,1
cold	i,3
creepy	men,4
slowest	snail,1
rude	staff,14
panoramic	views,1
proper	staff,6
free	mice,6
clean	altho,6
poor	junior,1
good	customer,1
broken	sofa,6
swipe	card,1
cute	aswell,3
fair	quality,1
broken	towel,1
loved	ones,1
super	cold,6
lovely	suprise,6
happy	camper,2
interesting	fact,6
favorite	travel,6
ugly	head,1
disgusting	sleeze,1
bad	films,3
poor	girls,1
cheap	room,149
better	motels,1
good	elevator,1
healthy	food,1
delightful	whiff,2
greatest	room,7
terrible	stains,4
positive	side,7
good	ghost,6
bad	acid,3
negative	views,6
nice	doorman,6
hard	heart,1
filthy	bath,9
good	room,51
dead	body,40
dusty	skirting,3
finer	things,6
surreal	tour,4
hot	food,8
mysterious	noise,1
clean	mattress,6
right	leg,3
musty	smell,8
entertaining	show,1
abusive	receptionist,2
hard	job,3
cautionary	note,1
happy	staff,1
cheaper	options,1
hot	running,1
musty	odor,12
affordable	room,6
decent	people,3
bug	bites,12
worst	hotels,20
wrong	yes,1
great	bell,6
bright	balloons,6
weird	smells,8
available	room,10
affectionate	name,1
romantic	time,1
fancy	places,6
great	spot,1
suspicious	characters,1
good	news,19
top	floor,5
super	saggy,1
rude	woman,1
bad	surprises,6
good	queen,6
filthy	carpet,38
poor	student,1
fantastic	times,9
odd	wall,1
poor	staff,9
best	selling,3
helpful	person,1
pretty	shabby,3
rude	front,1
broken	tv,4
better	position,3
flakey	paint,3
nice	chaps,3
good	effect,2
polite	conversation,1
dead	roaches,3
fast	elevators,6
unlikely	guest,1
wrong	floor,12
like	mosquito,3
weird	retro,6
decent	hotels,8
beautiful	room,3
affordable	lodging,1
unclean	window,1
good	rant,2
