poor	excuse,19
disappointing	reading,3
dead	rat,15
nice	condition,3
pleasurable	experiences,3
clean	floor,3
rude	front,8
sensible	staff,3
cheapest	saver,3
modern	hotels,6
top	location,5
good	pizza,5
right	smack,8
amazing	time,11
uncontrolled	diarhhea,5
cheaper	n,5
bad	part,3
friendly	room,8
filthy	moldy,5
uncomfortable	nights,3
clean	freak,10
dirty	stains,3
nice	breakfast,6
desirable	conditions,5
nice	suite,3
miserable	lobby,5
appalling	conditions,3
friendly	staff,48
shady	people,15
ample	computers,3
broken	towel,3
great	recommendation,3
worst	disappointment,5
notorious	crack,5
perfect	temperature,5
broken	furniture,24
lowly	room,8
nice	restaurants,18
beautiful	location,5
entertaining	fun,3
positive	people,3
good	pubs,3
filthy	hole,3
dirty	tv,5
great	variation,3
funny	comment,5
irate	conversation,5
expensive	bit,5
free	internet,85
strange	pungent,5
gross	situations,5
uncomfortable	experiences,5
outrageous	customer,5
ample	size,6
crazy	maintenance,3
decent	shower,15
terrible	sound,5
best	travelodge,9
pleasant	receptionist,3
precious	holiday,5
negative	image,5
poor	conditions,5
dead	mouse,5
strange	people,3
dead	centre,5
sketchy	front,5
dirty	wot,3
better	hotels,36
pleasant	room,9
important	time,8
negative	people,5
poor	signal,3
good	channels,5
good	movie,5
poor	hotels,3
arrogant	woman,10
rough	estimate,3
good	bout,3
reasonable	breakfast,3
rude	man,3
rusty	metal,3
exhorbitant	value,3
severe	gastric,5
reasonable	room,3
best	advise,5
free	ferry,3
excellent	holiday,5
tidy	eat,3
poor	guy,5
pleasant	nights,3
good	mains,3
great	restuarants,5
easy	access,26
decent	tv,3
worn	dark,3
noisy	rowdy,3
poor	picture,5
decent	travelodges,3
run-down	part,3
free	stuff,5
greasy	disgrace,3
friendly	offering,3
enough	beds,11
free	plastic,5
cheap	beer,5
shady	business,5
noisy	ac,5
clean	no,3
terrible	things,5
safe	environment,5
strong	musty,5
tired	i,5
dirty	maids,5
strange	noises,3
broken	appliances,8
great	experiance,3
dirty	rads,3
hard	crusty,3
rough	toilet,3
cold	breakfast,3
horrendous	roll,3
dirty	tables,3
luxurious	room,3
top	inch,3
funny	side,5
dreary	room,3
disgusting	period,5
better	cleanliness,5
great	inconvenience,3
poor	shape,10
limited	resources,3
good	scares,5
dirty	matras,5
lucky	room,3
poorest	travelodge,3
modern	world,3
fist	fight,5
better	items,5
cool	bars,5
fast	food,9
stale	smelling,3
great	prices,5
right	reasons,3
limited	space,3
positive	experiences,3
cool	air,8
good	quality,15
suspicious	stain,5
good	guys,5
bad	reception,5
free	drinks,3
urgent	need,3
bad	condition,16
dreadful	port,2
pleasant	one,5
cold	though,5
posh	room,10
right	turn,5
nice	bottom,5
courteous	people,13
portable	light,5
illegal	activities,5
scary	feeling,5
odd	door,5
awful	etc,5
better	accomodations,10
bizarre	tale,3
unpleasant	odour,3
bad	people,5
lost	cost,3
rusty	scew,3
strange	country,3
best	person,5
horrible	customer,3
broken	metal,3
clear	water,10
saver	value,3
infamous	times,5
shabby	condition,3
memorable	nyc,3
lovely	shade,5
decent	part,3
disgusting	hotels,5
nasty	time,5
unclean	toilets,5
lovely	location,3
smallish	side,3
bad	bunch,8
great	travel,22
top	floors,10
good	holiday,5
good	size,40
poor	repair,3
weary	heads,5
humble	background,5
good	restaurants,10
rotten	wood,3
good	clean,20
cold	water,47
important	items,3
awful	conditions,3
weird	smelling,5
clear	english,5
clean	comfy,3
clean	reception,3
proper	information,5
rusty	nails,3
nice	cus,3
free	hbo,5
super	clean,5
nice	welcoming,3
wild	side,5
rude	insolent,5
clogged	sink,5
safe	boxes,3
shady	storage,5
rude	side,8
free	time,6
great	potential,3
better	job,13
infamous	new,5
broken	windows,5
cheapest	options,8
good	updating,5
cold	snap,3
important	things,15
super	fresh,3
better	step,3
brilliant	time,8
impoverish	drug,5
swipe	entry,5
best	makeover,3
cheap	train,3
comfortable	surroundings,3
creepy	door,3
nice	atmosphere,5
good	access,3
flickering	light,3
quiet	nights,3
unknown	room,3
correct	property,3
lackluster	pillows,3
pleasant	reception,3
eye-catching	lobby,3
solid	block,3
great	coupons,5
cold	dark,3
cozy	room,3
loud	voice,3
strong	pressure,10
hot	tap,11
free	items,3
cold	taps,5
shoddy	time,3
sick	taxi,3
bad	words,5
bad	smell,16
filthy	boxers,3
filthy	bed,3
attractive	value,3
positive	review,8
good	power,5
terrible	nights,3
criminal	lawyer,5
meticulous	cleanliness,3
available	options,3
genuine	problems,5
good	10-15mins,3
decent	size,47
quiet	crescent,3
cheap	version,5
inadequate	security,5
quiet	lunchtime,3
good	note,5
saggy	beds,3
perfect	english,3
expensive	breakfast,3
trustworthy	memory,3
dark	inside,3
pretty	fast,3
fancy	room,16
welcome	visitors,5
intense	heat,3
creepy	corridors,5
affordable	choices,5
better	haha,5
awful	condition,16
like	ages,3
nice	things,5
sensitive	travellers,5
noisy	lift,3
bad	shape,5
clean	fluffy,3
poor	hostel,8
unsuspecting	tourists,5
super	comfy,6
clear	plastic,5
important	bedbug,5
wrong	type,3
great	things,3
questionable	origin,3
broken	closet,3
famous	lindy,3
clean	at,3
genuine	complaint,3
comfortable	room-that,3
false	fire,6
poor	water,3
proper	perspective,5
best	friend,23
excellent	food/shakes,3
steady	value,6
good	slap,3
allergic	type,3
beg	bugs,5
elegant	but,3
unpleasant	location,3
attractive	rates,3
important	factor,3
dirty	sock,3
shady	motel,3
pretty	cool,8
pretty	interesting,5
broken	sink,5
hot	room,3
scary	people,5
infested	flee,5
slow	renovation,5
good	christmas,3
superior	double,3
cheap	accomadation,5
awful	staff,8
tiring	day,6
sublime	william,3
good	spot,11
hysterical	laughter,5
fabulous	location,9
spiritual	presence,5
horrible	stories,5
better	quality,16
quiet	roads,3
strange	sound,3
decent	map,5
positive	aspect,6
modern	skyscrapers,3
pitiful	room,21
clean	flushing,5
modern	travelodge,3
good	decision,5
dire	dark,3
substandard	room,5
loose	headboard,3
clean	etc,3
correct	booking,6
unpleasant	member,3
harsh	living,5
cheap	deals,14
happy	time,5
cheapest	one,3
bad	energy,5
happy	guest,5
attractive	female,5
warm	snacks,5
broken	door,10
weird	decor,5
efficient	staff,6
poor	junior,3
lovely	suprise,5
decent	nights,3
good	ghost,5
delayed	overnight,5
dead	insects,3
swift	exit,3
fresh	laundery,5
fancy	places,5
clean	house,5
wrong	travelodge,3
lost	reservation,3
pure	70ies,3
right	rude,5
worse	enemy,8
wrong	one,3
lovely	day,3
smooth	check,3
great	desire,5
free	bar,3
creepy	room,5
worse	part,5
awful	lobby,8
dirty	someone,3
bad	moment,5
cheap	etc,5
forceful	shower,3
clean	bedroom,3
stale	fat,5
cold	showers,3
confused	woman,5
hot	meals,10
beautiful	building,3
warm	fall,3
sticky	mouse-pad,5
broken	english,10
ridiculous	experiences,3
enough	research,3
clear	signs,6
good	rating,3
polite	notice,3
malicious	location,3
dusty	room,8
soft	lumpy,3
pretty	decent,3
nice	furniture,5
decent	pastry,3
unreasonable	lengths,3
scary	nightmare,3
good	facilities,3
poor	guests,3
pleasing	art,3
poor	reception,3
helpful	staff,20
quiet	restaraunt,3
impressive	lobby,6
poor	condition,8
easy	location,15
friendly	time,5
broken	panel,3
free	tea,12
wonderful	king,5
lackluster	aspect,3
disgusting	value,6
super	picky,3
quiet	neighbors,3
fantastic	travel,26
great	travels,5
super	time,3
broken	carpet,3
broken	drawers,3
poor	customer,3
cold	drinks,6
dirty	foot,3
dead	corpse,5
inadequate	lifts,3
stale	food,11
dishonest	people,3
easy	walking,5
strong	stomach,5
nice	look,3
nice	website,5
good	advice,3
poorer	standand,3
expensive	travel,8
unhelpful	pretending,5
dark	patch,3
hot	or,3
enough	blankets,3
good	number,3
pretty	insistent,5
broken	window,5
leaky	tap,3
great	staff,19
poor	show,3
cozy	time,3
welcome	aura,3
affordable	rates,5
perfect	reception,5
cheaper	junk,3
fresh	fruit,6
good	music,3
sweet	wrapper,3
dark	brown,17
strange	smell,16
cheaper	breakfast,8
broken	chairs,3
easy	check-in,5
safe	travels,5
appropriate	sign,3
worthy	upgrade,3
amazing	views,5
good	en,3
incorrect	info,3
poor	behaviour,3
excellent	base,3
hot	time,6
worrying	thought,5
clean	sheeting,5
reasonable	time,6
unforeseen	circumstances,3
nice	choose,3
sticky	stains,3
tortuous	history,5
good	films,5
nice	surprise,5
clean	apartment,5
rough	location,3
hot	showers,14
good	laughs,5
bad	mistake,5
right	corner,5
bad	bits,8
cool	places,5
poor	selection,3
horrific	reviews,56
tacky	decor,5
insufficient	lifts,3
questionable	people,5
liked	weed,3
dull	hallways,3
fair	warning,3
scary	room,10
right	ants,3
shoddy	staff,3
protective	glass,5
shabby	paint,3
clean	bed,63
weird	stain,5
hard	bed,3
