top	places,90
bad	stays,2
gorgeous	marble/glass,2
filthy	room,285
compulsive	liar,2
lovely	eat,64
unpleasant	odor,2
bug	infestation,17
sweet	location,15
good	child,2
nice	outside,42
favorite	places,43
great	resorts,2
cheapest	option,168
decent	hairdryer,2
sad	time,2
chronic	complainers,2
great	restaurent,52
comfortable	position,13
reasonable	location,342
difficult	circumstances,23
beautiful	columbus,151
perfect	base,2
frustrating	part,24
free	cup,24
nice	change,195
sour	towels,59
good	menu,93
great	job,837
like	mine,17
wonderful	roof,2
best	tourist,168
lousy	part,42
great	hammocks,10
magnificent	bed,52
avid	reader,2
great	spg,48
frozen	frape,5
clear	answer,66
nice	bar,648
complimentary	things,52
comfy	comforter,7
perfect	combination,7
frozen	drinks,21
limited	time,2
great	standards,12
nice	furnishings,90
rude	staff,287
unclean	factor,38
greasy	food,2
worthy	man,15
right	infront,2
best	vote,2
good	customer,132
dirty	glasses,12
amazing	island,7
fried	food,19
cozy	dinner,2
good	fitness,133
best	mojito,3
free	plug,2
good	chance,146
terrific	advice,2
traumatic	time,45
comfortable	westin,42
terrible	sheets,12
hot	tub,733
positive	aspects,85
flattering	lighting,12
nice	newer,9
enough	commerce,168
hard	location,2
complimentary	lounge,13
nice	resturants,3
great	rating,13
great	kingsize,64
nasty	food,2
good	retaurant,5
free	piece,48
dead	body,2
upscale	time,2
wrong	priorities,168
decent	menu,2
available	shows,23
exceptional	accommodations,52
strong	winds,2
worse	bath,25
cheap	linens,11
cold	fries,16
clean	everything,14
fabulous	room,10
horrible	shape,39
fantastic	shopping,14
limited	value,75
sloppy	staff,10
expansive	roof,2
top	star,17
fabulous	rooftop,168
nice	improvement,49
good	pratas,2
comfortable	chair,228
quiet	location,251
great	casino,7
critical	importance,6
ridiculous	side,2
smelled	fine,10
pleasant	thought,12
pleasant	location,148
great	dinners,9
best	hotles,2
unexpected	expense,2
top	floor,620
filthy	smokey,123
cheaper	option,9
good	airport,124
broken	lights,5
good	peace,2
crowded	eat,5
free	pastry,8
best	selling,168
plush	room,66
nice	sand,6
fun	caribbean,13
amazing	cocktail,2
cold	draft,10
free	bfast,2
nice	selection,34
great	vacation,50
leaky	sink,2
free	wi-fi,957
congested	condado,2
pretty	convenient,2
bright	spot,83
upscale	veneer,2
better	end,10
mad	business,17
noisy	aircon,2
stiff	linens,64
expensive	sit,5
festive	mood,43
poor	ventilation,9
free	meals,1
great	internet,13
regret	booking,2
valuable	towels,2
free	nights,98
great	rooms/suites,10
right	rude,73
worst	*westin*,43
amazing	bargains,17
fresh	fruits,9
nice	appearance,49
pleasant	event,43
pretty	sure,4
great	delis,71
prompt	response,2
great	jazz,5
sticky	travel,168
redeeming	time,12
pretty	bland,2
greatest	beds,52
good	recommendations,105
nice	diversion,2
awful	ones,168
complimentary	biscuits,2
great	servies,2
great	option,196
enough	glasses,2
great	meal,138
excellent	directions,41
wrong	street,15
favorite	spot,2
nice	neighbourhood,64
lovely	location,93
comfortable	one,19
great	day,45
good	option,617
