top	places,39
filthy	room,107
lovely	eat,34
nice	outside,8
favorite	places,8
desirable	show,1
great	accommodation,90
cheapest	option,90
cold	air,18
easy	reach,30
unhelpful	staff,90
excellent	tv,1
great	restaurent,25
reasonable	location,173
difficult	circumstances,1
beautiful	columbus,80
frustrating	part,1
free	cup,1
nasty	smell,53
sour	towels,28
good	menu,28
great	job,305
hot	nightclubs,8
fair	reviewer,65
lousy	part,8
magnificent	bed,25
super	picky,115
great	spg,15
great	customer,256
perfect	home,1
good	meal,66
brilliant	location,41
clear	answer,31
nice	bar,309
great	dinner,36
helpful	b/c,30
excellent	luck,6
odd	configuration,90
good	show,47
nice	reception,24
terrific	bar,15
rude	staff,146
unclean	factor,6
reasonable	reviews,33
great	base,80
nice	job,30
good	fitness,50
good	chance,48
outrageous	treatment,31
traumatic	time,9
comfortable	westin,8
hot	tub,114
exceptional	customer,8
easy	fix,90
disappointing	time,111
severe	shaking,90
advanced	purchase,120
awful	artex,39
great	kingsize,35
strong	mildew,18
free	piece,16
fabulous	comfy,64
wrong	priorities,90
luxurious	time,42
available	shows,1
tired	side,90
ample	towels,90
sweeping	location,1
good	irish,36
horrible	shape,6
limited	value,39
fabulous	rooftop,90
nice	improvement,16
great	pointers,90
comfortable	chair,85
quiet	location,101
pleasant	location,79
great	spot,9
nice	lounge,7
top	floor,264
filthy	smokey,61
good	airport,26
soft	warm,2
clean	large,88
top	crane,1
best	selling,90
plush	room,30
loud	ice,75
nice	selection,4
daunting	room,90
free	wi-fi,382
bright	spot,36
rough	edges,90
nice	hotels,39
stiff	linens,35
warm	today,90
helpful	+,83
festive	mood,8
beautiful	room,105
free	nights,47
top	items,419
worst	*westin*,8
steady	decline,2
indifferent	front,5
solid	status,90
nice	appearance,16
pleasant	event,8
great	delis,38
great	cons,10
worst	staff/employees,1
fabulous	daily,23
sticky	travel,90
clean	bed,90
greatest	beds,20
good	recommendations,38
excellent	i,90
fussy	person,138
wrong	mattress,3
great	option,34
great	meal,68
perfect	room,263
creepy	room,1
easy	access,155
luxurious	accommodation,3
horrible	reviews,4
soft	towels,3
nice	neighbourhood,34
lovely	location,25
spacious	room,578
comfortable	one,1
nice	omlettes,2
great	day,8
good	option,227
pleasant	lobby,3
enjoy	spending,1
better	locations,33
reasonable	approach,10
pleasant	/helpful,6
clean	bathrooms,101
comfortable	king,31
lousy	location,90
terrible	echo,1
hostile	towards,90
expensive	room,71
odd	request,37
friendly	i,37
free	access,34
consistent	product,90
hot	items,8
enough	walking,1
humid	summer,65
quiet	section,38
fair	bit,5
wrong	day,37
limited	lunch,8
lovely	spot,16
free	on-street,16
free	wi,93
great	veiw,41
spotless	mattress,72
stupid	reason,65
hard	sightseeing,90
best	review,34
good	candidate,8
good	trip,37
wonderful	bed,11
fine	sandy,8
dark	drapes,35
fantastic	base,1
good	nights,119
disturbing	health,27
soft	bed,1
enough	dust,8
hot	summer,151
nice	ones,6
courteous	staff,460
good	delis,38
strong	staff,5
slow	lift,5
greatest	asset,7
good	sleeping,1
infamous	hells,90
delicious	food,54
top	travel,1
safe	walking,209
steep	all,90
convenient	access,10
complimentary	things,24
inexpensive	eat,25
important	vip,10
amazing	parking,8
delicious	snacks,24
good	time,2507
pretty	sparse,90
terrific	room,184
great	bar,170
