top	places,13
filthy	room,91
lovely	eat,13
nice	outside,1
favorite	places,2
desirable	show,1
great	accommodation,88
cheapest	option,88
cold	air,6
easy	reach,13
unhelpful	staff,88
great	restaurent,10
reasonable	location,136
difficult	circumstances,1
beautiful	columbus,65
frustrating	part,1
free	cup,1
nasty	smell,36
sour	towels,13
good	menu,4
great	job,195
hot	nightclubs,2
fair	reviewer,53
lousy	part,1
magnificent	bed,10
super	picky,94
great	spg,3
great	customer,198
perfect	home,1
good	meal,29
brilliant	location,16
clear	answer,13
nice	bar,250
great	dinner,13
helpful	b/c,13
excellent	luck,1
odd	configuration,88
good	show,33
nice	reception,9
terrific	bar,2
rude	staff,131
unclean	factor,1
reasonable	reviews,13
great	base,46
nice	job,13
good	fitness,18
good	chance,14
outrageous	treatment,13
traumatic	time,2
comfortable	westin,2
hot	tub,27
exceptional	customer,1
easy	fix,88
disappointing	time,92
severe	shaking,88
advanced	purchase,94
awful	artex,14
great	kingsize,13
strong	mildew,6
free	piece,3
fabulous	comfy,52
wrong	priorities,88
luxurious	time,15
available	shows,1
tired	side,88
ample	towels,88
sweeping	location,1
good	irish,13
horrible	shape,1
limited	value,14
fabulous	rooftop,88
nice	improvement,6
great	pointers,88
comfortable	chair,63
quiet	location,40
pleasant	location,60
great	spot,2
nice	lounge,2
top	floor,199
filthy	smokey,50
good	airport,4
soft	warm,1
clean	large,85
best	selling,88
plush	room,13
loud	ice,58
nice	selection,1
daunting	room,88
free	wi-fi,332
bright	spot,13
rough	edges,88
nice	hotels,15
stiff	linens,13
warm	today,88
helpful	+,80
festive	mood,2
beautiful	room,32
free	nights,33
top	items,336
worst	*westin*,2
steady	decline,1
indifferent	front,1
solid	status,88
nice	appearance,6
pleasant	event,2
great	delis,14
great	cons,2
fabulous	daily,9
sticky	travel,88
clean	bed,88
greatest	beds,6
good	recommendations,14
excellent	i,88
fussy	person,121
wrong	mattress,1
great	option,6
great	meal,53
perfect	room,118
creepy	room,1
easy	access,70
luxurious	accommodation,1
horrible	reviews,1
soft	towels,1
nice	neighbourhood,13
lovely	location,10
spacious	room,423
nice	omlettes,1
great	day,2
good	option,138
pleasant	lobby,1
better	locations,13
reasonable	approach,2
pleasant	/helpful,1
clean	bathrooms,66
comfortable	king,7
lousy	location,88
terrible	echo,1
hostile	towards,88
expensive	room,28
odd	request,13
friendly	i,13
free	access,13
consistent	product,88
hot	items,2
humid	summer,53
quiet	section,14
fair	bit,1
wrong	day,13
limited	lunch,1
lovely	spot,3
free	on-street,6
free	wi,90
great	veiw,14
spotless	mattress,55
stupid	reason,53
hard	sightseeing,88
best	review,13
good	candidate,2
good	trip,14
wonderful	bed,3
fine	sandy,2
dark	drapes,13
good	nights,57
disturbing	health,12
enough	dust,2
hot	summer,139
nice	ones,1
courteous	staff,384
good	delis,13
strong	staff,1
slow	lift,1
greatest	asset,1
infamous	hells,88
delicious	food,14
top	travel,1
safe	walking,186
steep	all,88
convenient	access,2
complimentary	things,9
inexpensive	eat,10
important	vip,2
amazing	parking,1
delicious	snacks,9
good	time,1892
pretty	sparse,88
terrific	room,84
great	bar,136
friendly	greeting,1
fantastic	value,100
free	space,13
ignorant	guests,14
amazing	bed,7
upgraded	room,9
super	ripe,13
beautiful	hotels,2
noisy	air,53
second-class	citizen,1
great	plane,6
bad	location,114
attentive	staff,10
decent	review,13
flashy	diners,33
nice	touch,406
worst	starwood,6
weird	time,1
great	neighborhood,35
nice	room,1403
nice	furnishings,2
wrong	flavor,1
clean	plenty,36
convenient	room,45
beautiful	sleeping,1
great	brand,1
hot	afternoons,13
odd	reason,13
nice	clubs,88
pleasant	waiter,36
odd	problem,1
loud	carpeting,1
affordable	variety,43
great	bars,75
pretty	pricey,2
important	part,88
lovely	room,49
favorite	steakhouse,1
desperate	need,287
smelling	room,13
free	statten,13
good	customer,14
modern	furniture,1
amazing	location,104
great	scent,1
good	shower,125
nice	towels,1
stale	smell,1
lovely	surprise,31
overpriced	snack,2
upscale	look,57
interesting	evening,1
great	wings,62
delicate	touch,33
stellar	job,14
bad	points,13
super	attitude,2
fantastic	day,14
excellent	room,98
impossible	atmosphere,2
nice	eat,278
nice	airport,12
convenient	transportation,88
favorite	room,91
odd	hours,1
best	cheesecake,13
clean	neat,88
nice	items,46
good	wi-fi,88
good	part,88
lovely	sheets,1
perfect	location,214
realistic	expectations,1
steep	decline,6
good	california,2
cold	reception,65
healthy	option,88
clean	room,1239
upscale	location,40
quiet	drink,14
good	tip,13
excellent	restaurants,60
hectic	activity,1
easy	location,143
great	time,603
well-run	room,1
good	sound,1
polite	maid,1
fine	etc,1
beautiful	clean,85
positive	aspects,3
great	practice,1
good	pizza,89
right	hand,48
great	convenience,88
cranky	guest,6
cheapest	room,101
brisk	pace,81
friendly	room,27
unreliable	internet,1
knowledgeable	concierge,13
great	response,10
fair	number,13
friendly	staff,659
strong	drinks,1
helpful	breakfast,88
super	cheap,56
bored	countenance,34
nice	temperature,2
perfect	temperature,1
nice	visit,13
nice	restaurants,69
beautiful	location,2
free	internet,1263
adequate	staff,2
friendly	fashion,2
skimpy	pours,2
satisfactory	staff,9
loud	alarms,1
positive	reports,14
strange	sewage,13
poor	conditions,13
mortified	look,88
solid	room,78
reliable	room,3
good	solution,88
important	time,1
better	hotels,142
pleasant	room,18
heavenly	bed,9
great	relief,53
worst	downtown,2
expensive	@,1
worst	restaurants,1
tired	fittings,88
decent	breakfast,236
upscale	airport,1
nice	robes,1
cheap	eats,1
posh	room,14
limited	room,3
great	success,6
better	advantage,88
attraction	tickets,14
excellent	weight,1
poor	picture,1
free	time,14
complementary	travel,1
good	eat,32
free	airport,33
lost	water,24
poor	customer,13
noisy	ac,1
pretty	dirty,58
fine	restaurants,47
obscene	amount,88
unpleasant	staff,14
free	weights,2
lengthy	delay,1
sad	location,6
dirty	pillows,1
exceptional	accommodations,6
luxurious	room,88
soft	pillows,14
beautiful	central,84
free	dessert,6
decent	rates,88
correct	room,65
worse	bath,1
best	drug,88
free	muffin,176
brilliant	tickets,13
fast	food,21
great	prices,88
clean	headsets,1
superior	property,6
right	items,36
sincere	thanks,1
clean	bacthrooms,34
limited	number,146
good	quality,111
cold	waters,6
good	guys,33
good	selecction,13
bad	reception,54
hot	cocoa,13
